projectname,clientname,projectscope,yr_closed,newdistcode,cleanschool,newschoolid,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,yr_op1,genenrollment,distkids,CPI_perstu,CPIdist_kid,ctwhite,ctblack,cthispanic,ctReduced_lunch,distctwhite,distctblack,distcthispanic,distctReduced_lunch,maybecanceled,edu_building,career_tech,community1,community2,gen_facilities,admin,new,modern,career_techspending,edu_buildingspending,community1spending,community2spending,gen_facilitiesspending,adminspending,career_techstudent,edu_buildingstudent,community1student,community2student,gen_facilitiesstudent,adminstudent
CALAHAN STREET ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE SCHOOL (ACCESS COMPLIANCE -BARRIER REMOVAL),0,622710,CALAHAN STREET ELEMENTARY,62271002885,0,72933.53,,0,72933.53,2004,500,741367,145.8671,0.0983771,143,60,193,253,68132,88271,541514,558973,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
DEL CAMPO HIGH (SAN JUAN UNIFIED SD),SAN JUAN UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-GYM BLDG(HVAC UPGRADE),7,634620,DEL CAMPO HIGH,63462005769,157344.8,256077.4,11313.43,0,267390.9,2005,1753,48325,152.5333,5.533179,1461,81,141,180,34784,3806,7010,14510,0,0,0,0,1,1,0,0,0,,,,152.5333,152.5333,,,,,152.5333,152.5333,
VAN NUYS ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-AUDIT. BLDG (HVAC),14,622710,VAN NUYS ELEMENTARY,62271003421,250748,367454.8,40057.39,407512.2,407512.2,2004,931,741367,437.7145,0.5496768,12,13,881,833,68132,88271,541514,558973,0,0,0,0,0,1,0,0,0,,,,,437.7145,,,,,,437.7145,
VALLEY REGION ELEMENTARY SCHOOL #10,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-C.R./K.G. BLDG (A); C.R./ADMIN. BLDG (B); M.P./KIT. BLDG (C); LUNCH SHELTER; FREE STANDING CMU WALLS;SITE WORK.,15,622710,VALLEY REGION ELEMENTARY,69102008738,2.06E+07,2.63E+07,4226428,3.05E+07,3.05E+07,2007,0,1802,,16947.46,0,0,0,0,395,108,952,1035,0,1,0,1,0,1,1,0,0,,,,,,,,,,,,
THIRD STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO ENTIRE SCHOOL (HVAC),0,622710,THIRD STREET ELEMENTARY,62271003394,569992.3,588686.9,173227.9,0,761914.9,1997,857,680430,889.0489,1.119755,,75,103,,0,93310,453938,0,0,0,0,0,0,1,0,0,0,,,,,889.0489,,,,,,889.0489,
SPRECKELS ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SCOREBOARD STRUCTURE,2,634320,SPRECKELS ELEMENTARY,63432005553,23176.72,0,,0,23176.72,1998,705,138433,32.87478,0.1674219,,13,330,,0,23065,48077,0,0,1,0,0,1,1,0,0,0,,32.87478,,32.87478,32.87478,,,32.87478,,32.87478,32.87478,
ARAGON AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-CLSRM  BUILDING (STOCKPILE A-66627),8,622710,ARAGON AVENUE ELEMENTARY,62271002821,50761.67,50761.67,,0,50761.67,1998,780,695885,65.07906,0.0729455,,1,762,,0,93867,466259,0,0,1,0,0,0,1,0,0,0,,65.07906,,,65.07906,,,65.07906,,,65.07906,
FREMONT  ELEMENTARY (FRESNO USD),FRESNO UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-4 - C.R. BLDG/S , 1 - M.P. BLDG, 1 - TOILET BLDG",8,614550,FREMONT ELEMENTARY,61455001728,1126859,2063865,94894.22,0,2158759,2003,578,81408,3734.877,26.51777,104,45,380,569,14916,9395,42420,61823,0,1,0,1,0,1,0,0,0,,3734.877,3734.877,,3734.877,,,3734.877,3734.877,,3734.877,
CARSON HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE SCHOOL (INSTALLATION OF AIR CONDITIONING SYSTEM),14,622710,CARSON HIGH,62271002899,2729931,7902599,382731.8,8285331,8285331,2000,3241,721346,2556.412,11.48593,161,617,1289,1251,72404,93532,496505,520214,0,1,0,0,0,0,0,0,0,,2556.412,,,,,,2556.412,,,,
SUN VALLEY MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-AUDITORIUM BLDG (A# 10790); GYMNASIUM BLDG (A# 6051).,15,622710,SUN VALLEY MIDDLE,62271012520,765898.2,1843563,216310.9,2059874,2059874,2006,0,703722,,2.927113,0,0,0,0,64272,82884,532152,558949,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
DOLORES STREET ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO CLSRM. BLDGS. - INSTALLATION OF  (NEW F/A SYSTEM),4,622710,DOLORES STREET ELEMENTARY,62271002962,162769.3,0,,0,162769.3,1999,832,710007,195.6362,0.2292503,,57,458,,0,94664,480655,0,0,1,0,0,0,0,0,1,0,,195.6362,,,,,,195.6362,,,,
SAN FERNANDO SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-SCIENCE BUILDING (C), 1-CLASSROOM BUILDING (AA455 -RELOCATABLE), 1-TOILET BUILDING  (J  -RELOCATABLE)",14,622710,SAN FERNANDO SENIOR HIGH,62271003325,773631.8,774710.9,302186.6,1076898,1076898,2008,3281,684143,328.2224,1.574082,19,33,3267,1479,59978,74519,504866,469364,0,1,0,0,0,1,0,0,0,,328.2224,,,328.2224,,,328.2224,,,328.2224,
ADDICOTT ELEMENTARY SCHOOL (FRESNO UNIFIED SCHOOL DISTRICT),FRESNO UNIFIED SCHOOL DISTRICT,"RELOCATION OF 1-CLASSROOM BUILDING  (RELOCATABLE), ALTERATIONS TO 1-CLASSROOM BUILDING",11,614550,ADDICOTT ELEMENTARY,61455007966,140531.1,113054.1,,0,113054.1,2009,42,75396,2691.763,1.49947,7,4,32,31,10639,8212,46036,60684,0,1,0,0,0,0,0,0,0,,2691.763,,,,,,2691.763,,,,
VAN NUYS HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ENTIRE CAMPUS (ACS-BARIER REMOVAL, ETC.)",15,622710,VAN NUYS HIGH,62271003424,2572015,3132243,272663.4,3404907,3404907,2005,3577,727319,951.8889,4.681449,474,157,2327,2819,66438,86362,539906,556015,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOPANGA ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONST. OF RELOCATABLE RESTROOM BLDG. (PC-274).,14,622710,TOPANGA ELEMENTARY,62271003401,93406.79,93406.79,,0,93406.79,1998,325,695885,287.4055,0.1342273,,12,45,,0,93867,466259,0,0,1,0,0,0,1,0,0,0,,287.4055,,,287.4055,,,287.4055,,,287.4055,
GLASSELL PARK ELEMENTARY SCHOOL (23.01634),LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ELECTRICAL SERVICE UPGRADE,12,622710,GLASSELL PARK ELEMENTARY,62271003042,482204.2,215477.8,33730.21,0,249208,2005,747,727319,333.6118,0.3426392,7,5,745,705,66438,86362,539906,556015,0,1,0,0,0,1,0,0,0,,333.6118,,,333.6118,,,333.6118,,,333.6118,
CARVER MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF LUNCH SHELTER,1,622710,CARVER MIDDLE,62271002902,107777.1,143702.8,24882.17,0,168584.9,1998,2137,695885,78.8886,0.2422597,,341,2512,,0,93867,466259,0,0,0,0,0,0,1,0,0,0,,,,,78.8886,,,,,,78.8886,
LATONA ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,RECONSTRUCTION OF 1-RETAINING WALL AND ASPHALT RESURFACING,4,622710,LATONA ELEMENTARY,62271003126,68619.74,52151,,0,52151,2000,485,721346,107.5278,0.0722968,4,6,398,371,72404,93532,496505,520214,0,0,0,0,0,1,0,0,0,,,,,107.5278,,,,,,107.5278,
DEL CAMPO HIGH SCHOOL (SAN JUAN UNIFIED SCHOOL DISTRICT),SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-HYDROGEN FUEL CELL GENERATOR AT (E) CELLULAR TOWER,12,634620,DEL CAMPO HIGH,63462005769,0,14195.68,,14195.68,14195.68,2011,1923,46359,7.382047,0.3062119,1453,128,263,784,30011,3571,8675,19482,0,0,0,0,0,1,0,0,0,,,,,7.382047,,,,,,7.382047,
ACCELERATED SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-TWO C.R./OFFICE BLDGS.,15,622710,ACCELERATED,62271003245,2372839,0,2955765,2955765,2955765,2002,358,746852,8256.327,3.957632,2,102,153,98,70746,91195,524821,534883,0,1,0,0,0,0,1,0,0,,8256.327,,,,8256.327,,8256.327,,,,8256.327
THE ACCELERAED SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-2 RELOC. CR BLDGS., AND 2 LUNCH SHELTERS. (FROM PC)",13,622710,THE ACCELERAED,62271013688,129647.6,139107.4,,0,139107.4,2002,0,746852,,0.1862583,0,0,0,0,70746,91195,524821,534883,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,
PACIFIC BEACH MIDDLE SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-PAVING IMPROVEMENTS,15,634320,PACIFIC BEACH MIDDLE,63432005532,907405.6,840204.1,,0,840204.1,2000,779,141804,1078.568,5.925109,284,70,503,605,38723,23300,52361,88089,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
HILLCREST DRIVE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),13,622710,HILLCREST DRIVE ELEMENTARY,62271003084,2210348,2033690,93745.06,2127435,2127435,2004,1237,741367,1719.834,2.869612,3,709,552,1190,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,1719.834,,,,1719.834,,1719.834,,,,1719.834,
E. MORRIS COX ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-CLASSROOM ADMINISTRATION BUILDING, RELOCATION OF 2-CLASSROOM BUILDINGS (RELOCATABLE), 4-CLASSROOM BUILDINGS (RELOCATABLE), ALTERATIONS TO 4-CLASSROOM BUILDINGS",14,628050,E. MORRIS COX ELEMENTARY,62805004257,1.62E+07,1.77E+07,539131.4,1.83E+07,1.83E+07,2007,552,44084,33066.24,414.0406,0,194,383,562,2841,17945,16382,32133,0,1,0,0,0,0,1,0,0,,33066.24,,,,33066.24,,33066.24,,,,33066.24
ARLINGTON HEIGHTS ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO ENTIRE SCHOOL (FIRE ALARM SYSTEM),13,622710,ARLINGTON HEIGHTS ELEMENTARY,62271002825,115883.6,60838.89,3654.129,0,64493.02,1998,1017,695885,63.41497,0.0926777,,281,734,,0,93867,466259,0,0,1,0,0,0,1,0,0,0,,63.41497,,,63.41497,,,63.41497,,,63.41497,
VIRGIL MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO BUILDINGS- INSTALLATION OF NEW (F/A SYSTEM).,6,622710,VIRGIL MIDDLE,62271003439,159340,226697.3,11681.5,0,238378.8,1998,2740,695885,86.99956,0.3425549,,85,2329,,0,93867,466259,0,0,1,0,0,0,0,0,1,0,,86.99956,,,,,,86.99956,,,,
SOUTH REGION ELEMENTARY SCHOOL #11,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 5-PHOTOVOLTAIC CANOPIES (PC-04-111841),14,622710,SOUTH REGION ELEMENTARY,62271012124,0,1111815,,1111815,1111815,2012,0,653337,,1.701748,0,0,0,0,59627,62467,483838,195472,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
NIMITZ CHESTER W MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),13,622710,NIMITZ CHESTER W MIDDLE,62271003216,3258767,4163312,423916.8,0,4587229,2004,3593,741367,1276.713,6.187527,31,10,3819,3506,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,1276.713,,,,1276.713,,1276.713,,,,1276.713,
HUBBARD STREET ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-HANDBALL WALL (PC-03-106681),0,622710,HUBBARD STREET ELEMENTARY,62271003094,0,10492.27,,0,10492.27,2005,987,727319,10.63046,0.0144259,37,22,950,865,66438,86362,539906,556015,0,0,0,0,0,1,0,0,0,,,,,10.63046,,,,,,10.63046,
POINT LOMA HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-TWO-STORY CLASSROOM BUILDING,12,634320,POINT LOMA HIGH,63432005537,6279177,3976619,52719.79,0,4029339,2008,2064,131890,1952.199,30.55075,844,130,945,940,33159,17712,58207,81418,0,1,0,0,0,0,0,0,0,,1952.199,,,,,,1952.199,,,,
HIGHLAND ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-4 - RELOCATABLE C.R. BLDG/S,9,628050,HIGHLAND ELEMENTARY,62805004274,57746.13,412307.4,30023.37,0,442330.8,2007,316,44084,1399.781,10.03382,0,72,221,313,2841,17945,16382,32133,0,1,0,0,0,0,0,0,0,,1399.781,,,,,,1399.781,,,,
VANALDEN AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-RAMPS,9,622710,VANALDEN AVENUE ELEMENTARY,62271003425,41707.81,100953.8,,0,100953.8,2006,508,703722,198.7279,0.1434569,100,16,348,393,64272,82884,532152,558949,0,0,0,0,0,1,0,0,0,,,,,198.7279,,,,,,198.7279,
HUMPHREY'S ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-LUNCH SHELTER,7,622710,HUMPHREY'S ELEMENTARY,62271010863,148203.7,214001.1,,0,214001.1,2003,0,747009,,0.2864772,0,0,0,0,70031,90541,537136,555117,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
WHITNEY AVENUE  ELEMENTARY (SAN JUAN USD),SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO MULTI-PURPOSE BLDG,4,634620,WHITNEY AVENUE ELEMENTARY,63462005826,295506.4,557115.4,45289,0,602404.4,2001,457,51383,1318.172,11.72381,262,57,67,364,37762,3225,5195,14488,0,0,0,1,0,0,0,0,0,,,1318.172,,,,,,1318.172,,,
MILES AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-3 - C.R. BLDG/S (RELOCATABLE);, ALTERATIONS TO 1-C.R. BLDG (100283), C.R. BLDG (A 43252)",4,622710,MILES AVENUE ELEMENTARY,62271003185,1618512,0,,0,1618512,2000,2583,721346,626.6017,2.243739,6,8,2519,2277,72404,93532,496505,520214,0,1,0,0,0,0,0,0,0,,626.6017,,,,,,626.6017,,,,
ANGELES MESA ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-A SHADE STRUCTURE,8,622710,ANGELES MESA ELEMENTARY,62271002816,192375,242392.5,24239.25,0,266631.8,2003,687,747009,388.1103,0.3569325,1,453,284,695,70031,90541,537136,555117,0,0,0,0,0,1,0,0,0,,,,,388.1103,,,,,,388.1103,
WILSON MIDDLE SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-(1)CR BLDG(100); (1)CR/LIBRARY BLDG(400); & (1)LOCKER ROOM BLDG(600).,6,634320,WILSON MIDDLE,63432005573,1034811,1012899,47635.5,0,1060534,2003,1440,137960,736.4821,7.687259,85,231,981,1054,36825,21108,57546,79705,0,1,0,1,0,1,0,0,0,,736.4821,736.4821,,736.4821,,,736.4821,736.4821,,736.4821,
MIRA LOMA HIGH SCHOOL (SAN JUAN USD),SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF ENTRY SIGN,1,634620,MIRA LOMA HIGH,63462005799,34343.13,0,,0,34343.13,2000,1621,50266,21.18638,0.6832278,1053,131,132,414,36496,3003,4697,13625,0,0,0,0,0,1,0,0,0,,,,,21.18638,,,,,,21.18638,
VARIOUS SITES,OAKLAND UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-1 RELOCATABLE CLASSROOM BUILDIG AT KAISER ELEMENTARY SCHOOL, 1 RELOCATABLE CLASSROOM BUILDING AT MUNCK ELEMENTARY SCHOOL, AND 1 RELOCATABLE CLASSROOM BUILDING AT PERALTA ELEMENTARY SCHOOL",8,628050,VARIOUS SITES,999999,182624.9,616281.1,3453.484,0,619734.6,2006,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,
HAMMEL STREET CHILDREN CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF RELOC. C.R. BLDG. (PC # 04-101451)  ALTERATIONS TO CHILDREN CENTER BLDG. ( A # 38485)-FIRE ALARM UPGRADE,0,622710,HAMMEL STREET CHILDREN CENTER,62805010463,105954.5,311108.8,,0,311108.8,2001,0,53545,,5.81023,0,0,0,0,3060,25644,15746,29499,0,1,1,0,0,1,0,0,0,,,,,,,,,,,,
ESPERANZA ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-HCD APPROVED CLSRM  BUILDING,16,622710,ESPERANZA ELEMENTARY,62271000451,50761.67,54387.5,,0,54387.5,1998,971,695885,56.01184,0.0781559,,27,946,,0,93867,466259,0,0,1,0,0,0,0,0,0,0,,56.01184,,,,,,56.01184,,,,
PALISADES CHARTER HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ELEVATOR TOWE,14,622710,PALISADES CHARTER HIGH,62271004593,0,408280.7,215713.8,0,623994.5,2006,2707,703722,230.5115,0.886706,1190,543,742,533,64272,82884,532152,558949,0,0,0,0,0,1,0,0,0,,,,,230.5115,,,,,,230.5115,
VAN NUYS HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SCOREBOARD,15,622710,VAN NUYS HIGH,62271003424,25778.33,90671.66,,90671.66,90671.66,2012,2777,653337,32.65094,0.1387824,316,108,1760,0,59627,62467,483838,195472,0,1,0,0,1,0,0,0,0,,32.65094,,32.65094,,,,32.65094,,32.65094,,
GRAPE STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM, SAFETY AND TECHNOLOGY)",15,622710,GRAPE STREET ELEMENTARY,62271003054,0,1922319,53288.44,1975607,1975607,2006,720,703722,2743.899,2.807369,2,240,526,713,64272,82884,532152,558949,0,0,1,0,0,1,0,0,0,2743.899,,,,2743.899,,2743.899,,,,2743.899,
POINT FERMIN ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-CLASSROOM BUILDING (A790), 1-CLASSROOM/ ADMINISTRATION BUILDING (A790)",15,622710,POINT FERMIN ELEMENTARY,62271003285,0,799609.1,118056.7,917665.8,917665.8,2012,318,653337,2885.741,1.404583,88,34,150,0,59627,62467,483838,195472,0,1,0,0,0,0,1,0,0,,2885.741,,,,2885.741,,2885.741,,,,2885.741
MCLANE HIGH (FRESNO USD),FRESNO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-RELOCATION OF (1) RELOCATABLE BLDG,4,614550,MCLANE HIGH,61455001754,26458.78,46567.46,4593.893,0,51161.35,2001,2305,81058,22.19581,0.6311697,278,186,1121,1652,15978,9155,38881,56476,0,1,0,0,0,0,0,0,0,,22.19581,,,,,,22.19581,,,,
MARK TWAIN MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-PHYSICAL EDUCATION BUILDING (A# 10796).,13,622710,MARK TWAIN MIDDLE,62271003167,0,647946,134338.4,782284.4,782284.4,2008,811,684143,964.5923,1.143452,40,108,771,777,59978,74519,504866,469364,0,1,0,0,0,0,0,0,0,,964.5923,,,,,,964.5923,,,,
NORTH HOLLYWOOD SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ADMIN. BLDG.; LIB. BLDG.; AUDITORIUM BLDG. (HVAC & MECHANICAL EQUIPMENT UPGRADE),13,622710,NORTH HOLLYWOOD SENIOR HIGH,62271003230,0,1089748,461938.5,1551686,1551686,2008,3046,684143,509.4177,2.268073,544,123,2245,2317,59978,74519,504866,469364,0,0,0,1,1,1,1,0,0,,,509.4177,509.4177,509.4177,509.4177,,,509.4177,509.4177,509.4177,509.4177
VARIOUS (FRESNO UNIFIED SCHOOL DISTRICT),FRESNO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 2-MARQUEE SIGNS,11,614550,VARIOUS (FRESNO UNIFIED DISTRICT),999999,0,21625.85,,0,21625.85,2010,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
BALBOA ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),13,622710,BALBOA ELEMENTARY,62271002833,0,1165945,321095.5,1487040,1487040,2004,657,741367,2263.379,2.005808,263,26,130,169,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,2263.379,,,,2263.379,,2263.379,,,,2263.379,
TWIN LAKES ELEMENTARY SCHOOL (SAN JUAN UNIFIED SCHOOL DISTRICT),SAN JUAN UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 9-FIRE ALARM UPGRADE - CLASSROOM BUILDINGS, 1-FIRE ALARM UPGRADE - MULTI-USE BUILDING",15,634620,TWIN LAKES ELEMENTARY,63462005825,0,118518.1,,0,118518.1,2013,588,48903,201.5613,2.423533,503,14,84,187,29108,3641,9586,22405,0,1,0,1,0,1,0,0,0,,201.5613,201.5613,,201.5613,,,201.5613,201.5613,,201.5613,
WESTLAKE MIDDLE SCHOOL-OAKLAND U.S.D.,OAKLAND UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-6 - RELOCATABLE C.R. BLDG/S,13,628050,WESTLAKE MIDDLE,62805004323,664418.8,0,,0,664418.8,2008,621,46516,1069.918,14.28366,15,258,107,452,2875,16818,16986,31639,0,1,0,0,0,0,0,0,0,,1069.918,,,,,,1069.918,,,,
SOUTH REGION SPAN K-8 #1,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-COVER WALKWAYS,14,622710,SOUTH REGION SPAN K-8 #1,62271012905,0,517421.2,47830.88,565252.1,565252.1,2011,0,659132,,0.8575704,0,0,0,0,58880,65424,484516,411617,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
SAN DIEGO HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ALTERATIONS TO: REROOF 11 BLDGS:  GYM (BLDG.200); 5 C.R. BLDG.S (BLDG. 100, 300, 400, 600,& 700); 4 STADIUM BLDG.S (CONCESSION, TICKET, TOILETS, PRESS BOX). AND REPLACE THE GYM HEAT VENT SYSTEM.",6,634320,SAN DIEGO HIGH,63432005544,1735456,2060079,,0,2060079,2001,2123,141599,970.3624,14.54869,348,264,1316,1114,38291,22906,54613,65684,0,1,0,0,1,1,0,0,0,,970.3624,,970.3624,970.3624,,,970.3624,,970.3624,970.3624,
PASADENA AVENUE ELEMENTARY SCHOOL (SAN JUAN UNIFIED SCHOOL DISTRICT),SAN JUAN UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-CAMPUS WIDE LOW VOLTAGE MODERNIZATION,15,634620,PASADENA AVENUE ELEMENTARY,63462005807,0,0,,0,0,2013,253,48903,0,0,116,31,78,193,29108,3641,9586,22405,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
VENICE HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS. TO SWIMMING POOL BLDG. ( A# ? ),5,622710,VENICE HIGH,62271003429,63931.23,0,,0,63931.23,2000,2773,721346,23.0549,0.0886277,394,260,1762,617,72404,93532,496505,520214,0,0,0,0,1,0,0,0,0,,,,23.0549,,,,,,23.0549,,
MARLTON SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE SCHOOL (FIRE ALARM),13,622710,MARLTON,62271007759,251217,4336799,444932,0,4781731,2002,383,746852,12484.94,6.402514,9,115,243,328,70746,91195,524821,534883,0,0,0,0,0,1,0,0,0,,,,,12484.94,,,,,,12484.94,
NAPA ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),11,622710,NAPA ELEMENTARY,62271003208,1496763,1502213,140455.4,0,1642669,2004,770,741367,2133.336,2.215729,8,26,741,733,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,2133.336,,,,2133.336,,2133.336,,,,2133.336,
SAN JUAN HIGH (SAN JUAN USD),SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONST OF: (1) 72' MONOPOLE,14,634620,SAN JUAN HIGH,63462005817,0,182200,,182200,182200,2001,999,51383,182.3824,3.54592,717,86,149,341,37762,3225,5195,14488,0,0,0,0,0,1,0,0,0,,,,,182.3824,,,,,,182.3824,
WEBSTER ELEMENTARY SCHOOL (FRESNO USD),FRESNO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CLASSROOM BLDG (RELOCATABLE),13,614550,WEBSTER ELEMENTARY,61455001778,0,61307.63,,0,61307.63,2000,490,79007,125.1176,0.7759771,27,38,317,271,16553,8910,37741,47596,0,1,0,0,0,0,0,0,0,,125.1176,,,,,,125.1176,,,,
OVERLAND AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-BLDGS (INSTALLATION OF NEW FIRE ALARM SYSTEM),4,622710,OVERLAND AVENUE ELEMENTARY,62271003256,140944.2,0,,0,140944.2,1999,543,710007,259.5658,0.198511,,58,100,,0,94664,480655,0,0,1,0,0,0,1,0,1,0,,259.5658,,,259.5658,,,259.5658,,,259.5658,
